date,country,yield,yield_de,spread,spread_change_1m,spread_vol_3m
2019-01-01,ES,1.376,0.13,1.246,,
2019-02-01,ES,1.306,0.06,1.246,0.0,
2019-03-01,ES,1.134,0.01,1.1239999999999999,-0.12200000000000011,0.08626702730475887
2019-04-01,ES,1.049,-0.04,1.089,-0.03499999999999992,0.0628198482434759
2019-05-01,ES,0.873,-0.13,1.0030000000000001,-0.08599999999999985,0.043714985988788875
2019-06-01,ES,0.496,-0.31,0.806,-0.19700000000000006,0.08283115355951537
2019-07-01,ES,0.354,-0.39,0.744,-0.062000000000000055,0.0720208303201234
2019-08-01,ES,0.141,-0.65,0.791,0.04700000000000004,0.12223065627465698
2019-09-01,ES,0.18,-0.59,0.77,-0.02100000000000002,0.05505451843400324
2019-10-01,ES,0.203,-0.47,0.673,-0.09699999999999998,0.07203702751594718
2019-11-01,ES,0.386,-0.35,0.736,0.06299999999999994,0.08003332639178085
2019-12-01,ES,0.435,-0.3,0.735,-0.0010000000000000009,0.0805315673095546
2020-01-01,ES,0.42,-0.31,0.73,-0.0050000000000000044,0.03815756805667774
2020-02-01,ES,0.272,-0.47,0.742,0.01200000000000001,0.008888194417315375
2020-03-01,ES,0.523,-0.54,1.0630000000000002,0.3210000000000002,0.1835056765697818
2020-04-01,ES,0.824,-0.45,1.274,0.21099999999999985,0.15662162473085683
2020-05-01,ES,0.742,-0.516,1.258,-0.016000000000000014,0.17185168023618513
2020-06-01,ES,0.511,-0.434,0.9450000000000001,-0.31299999999999994,0.2627781066476682
2020-07-01,ES,0.371,-0.523,0.894,-0.051000000000000045,0.16231553632765208
2020-08-01,ES,0.293,-0.522,0.815,-0.07900000000000007,0.14386567809360698
2020-09-01,ES,0.272,-0.524,0.796,-0.018999999999999906,0.03002221399786096
2020-10-01,ES,0.167,-0.607,0.774,-0.02200000000000002,0.03380828300875428
2020-11-01,ES,0.093,-0.614,0.707,-0.06700000000000006,0.0268886593194979
